"ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount"
"600519.SH","20090120","102.3","102.3","99.96","101.6","102.36","-0.76","-0.74","49104.05","493242.104"
"600519.SH","20090119","102.41","103.8","101.7","102.36","101.51","0.85","0.84","48562.93","498196.988"
"600519.SH","20090116","99.99","104.39","99.88","101.51","99.97","1.54","1.54","94599.55","955914.881"
"600519.SH","20090115","101.8","101.8","99.8","99.97","102","-2.03","-1.99","29820.65","298447.689"
"600519.SH","20090114","101.25","103.99","99.58","102","101.86","0.14","0.14","32003.7","323066.499"
"600519.SH","20090113","104.98","105.99","101.52","101.86","105.91","-4.05","-3.82","18099.11","186485.267"
"600519.SH","20090112","106.99","107.78","105.66","105.91","107.29","-1.38","-1.29","16667.9","176815.197"
"600519.SH","20090109","107.58","108.55","107","107.29","108.53","-1.24","-1.14","11800.16","127445.738"
"600519.SH","20090108","105.25","108.57","104.2","108.53","106.79","1.74","1.63","18634.67","198641.989"
"600519.SH","20090107","108.92","109","106.7","106.79","108.71","-1.92","-1.77","15238.02","164245.37"
"600519.SH","20090106","107.5","109.2","105.28","108.71","108.38","0.33","0.3","38154.08","406113.062"
"600519.SH","20090105","109.5","111.08","107","108.38","108.7","-0.32","-0.29","13505.5","145941.833"
"600519.SH","20081231","108.2","109.49","107.5","108.7","108.64","0.06","0.06","18313.13","198482.898"
"600519.SH","20081230","108.65","109","107","108.64","108.75","-0.11","-0.1","21829.96","236161.195"
"600519.SH","20081229","109.44","110.5","105.16","108.75","110.06","-1.31","-1.19","30028.56","323745.151"
"600519.SH","20081226","109.2","111.49","109.2","110.06","110.03","0.03","0.03","8944.6","98854.298"
"600519.SH","20081225","111.99","111.99","109","110.03","111.35","-1.32","-1.19","9028.53","99538.455"
"600519.SH","20081224","111","113","109.8","111.35","111.91","-0.56","-0.5","7877.63","87320.039"
"600519.SH","20081223","115.78","116.36","110.91","111.91","116.36","-4.45","-3.82","18271.66","205256.836"
"600519.SH","20081222","118.71","118.71","115.3","116.36","117.63","-1.27","-1.08","9028.42","105588.565"
"600519.SH","20081219","118.4","119.5","116","117.63","117.98","-0.35","-0.3","10621.97","125345.376"
"600519.SH","20081218","115.61","118.66","115.61","117.98","115.61","2.37","2.05","11770.63","138647.935"
"600519.SH","20081217","114.2","117.5","114.2","115.61","114.17","1.44","1.26","10013.62","116363.451"
"600519.SH","20081216","113.55","116.3","110.84","114.17","114.27","-0.1","-0.09","12367.38","138960.606"
"600519.SH","20081215","112","117.06","111.99","114.27","111","3.27","2.95","14007.71","160434.275"
